lambda_um,neff
1.45,2.6714668229971434
1.46,2.8299757999504696
1.47,2.823169579279027
1.48,2.816383996183894
1.49,2.8096186135789365
1.5,2.8028730103088098
1.51,2.7961467803963305
1.52,2.7894395323296326
1.53,2.782750888387186
1.54,2.7760804839965307
1.55,2.769427967128021
1.56,2.7627929977181216
1.57,2.7561752471232106
1.58,2.749574397600873
1.59,2.742990141817681
1.6,2.73642218238183
1.61,2.729870231399304
1.62,2.72333401005256
1.6300000000000001,2.7168132481998533
1.6400000000000001,2.710307683994824
1.6500000000000001,2.703817063525028
