lambda_um,neff
1.45,2.69662518613278
1.46,2.687462225298916
1.47,2.678294824355073
1.48,2.6691223436054874
1.49,2.659944158953496
1.5,2.8093315096872447
1.51,2.8027064893861784
1.52,2.7961014185959767
1.53,2.789515923506171
1.54,2.7829496434289114
1.55,2.776402230191426
1.56,2.7698733475584114
1.57,2.763362670684773
1.58,2.7568698855958167
1.59,2.750394688693736
1.6,2.743936786289149
1.61,2.7374958941568317
1.62,2.7310717371114874
1.6300000000000001,2.724664048607586
1.6400000000000001,2.718272570356772
1.6500000000000001,2.7118970519653938
