lambda_um,neff
1.45,2.626669647480584
1.46,2.6162821580878677
1.47,2.7602305700151164
1.48,2.7524218380813963
1.49,2.7446226327250014
1.5,2.7368324635501127
1.51,2.7290508549277512
1.52,2.7212773452831533
1.53,2.713511486421221
1.54,2.8048693272995124
1.55,2.7986557846826523
1.56,2.7924638574344005
1.57,2.7862932321421314
1.58,2.7801436061771634
1.59,2.7740146871984517
1.6,2.767906192681631
1.61,2.7618178494711736
1.62,2.7557493933549764
1.6300000000000001,2.749700568659696
1.6400000000000001,2.7436711278662074
1.6500000000000001,2.7376608312438204
