lambda_um,neff
1.45,2.774294686824852
1.46,2.766447469693292
1.47,2.7586110404672657
1.48,2.7507848974585536
1.49,2.7429685560305046
1.5,2.7351615478238798
1.51,2.727363420024678
1.52,2.7195737346722515
1.53,2.7117920680058782
1.54,2.7040180098463344
1.55,2.6962511630123216
1.56,2.688491142768298
1.57,2.680737576303014
1.58,2.6729901022365703
1.59,2.6652483701549223
1.6,2.65751204017011
1.61,2.6497807825052035
1.62,2.6420542771022935
1.6300000000000001,2.6343322132528066
1.6400000000000001,2.626614289248717
1.6500000000000001,2.618900212054061
