lambda_um,neff
1.4,2.6815177933596734
1.41,2.6713161719004757
1.42,2.661102368669643
1.43,2.650875631078775
1.44,2.640635230183213
1.45,2.630380459851377
1.46,2.6201106360024613
1.47,2.6098250959124614
1.48,2.5995231975841633
1.49,2.5892043191793754
1.5,2.57886785851273
1.51,2.568513232603486
1.52,2.558139877285262
1.53,2.5477472468726003
1.54,2.5373348138816723
1.55,2.5269020688071033
1.56,2.5164485199514344
1.57,2.5059736933088597
1.58,2.49547713250196
1.59,2.484958398771746
1.6,2.474417071021214
