lambda_um,neff
1.4,2.523445357564398
1.41,2.5103947940368596
1.42,2.4972975076244506
1.43,2.4841526067267345
1.44,2.4709592406933205
1.45,2.4577166007222386
1.46,2.44442392096851
1.47,2.4310804798740255
1.48,2.417685601726599
1.49,2.404238658459174
1.5,2.3907390717026322
1.51,2.377186315103572
1.52,2.363579916922819
1.53,2.349919462930871
1.54,2.336204599615767
1.55,2.3224350377251244
1.56,2.308610556159341
1.57,2.294731006240152
1.58,2.2807963163764446
1.59,2.2668064971527104
1.6,2.2527616468665648
