lambda_um,neff
1.45,2.655001711143567
1.46,2.6451121943795903
1.47,2.635208930745914
1.48,2.765008076105811
1.49,2.7574141655719853
1.5,2.7498314740252146
1.51,2.742259540673694
1.52,2.7346979188573766
1.53,2.7271461753722783
1.54,2.7196038898291746
1.55,2.7120706540468467
1.56,2.704546071475481
1.57,2.697029756650626
1.58,2.7837025557305735
1.59,2.7776265176341597
1.6,2.7715713800372237
1.61,2.765536871471516
1.62,2.759522729399833
1.6300000000000001,2.7535286998111976
1.6400000000000001,2.747554536835924
1.6500000000000001,2.7416000023794735
