lambda_um,neff
1.45,2.820877715589697
1.46,2.81379216907482
1.47,2.8067251513154647
1.48,2.799676197215884
1.49,2.7926448584677286
1.5,2.7856307027595064
1.51,2.7786333130271386
1.52,2.7716522867443874
1.53,2.7646872352511784
1.54,2.757737783115827
1.55,2.7508035675320817
1.56,2.743884237746177
1.57,2.7369794545142945
1.58,2.73008888958757
1.59,2.7232122252238735
1.6,2.7163491537242668
1.61,2.709499376993478
1.62,2.702662606122554
1.6300000000000001,2.6958385609926436
1.6400000000000001,2.6890269698990137
1.6500000000000001,2.6822275691941138
