lambda_um,neff
1.45,2.7839047958771515
1.46,2.776214891285533
1.47,2.768537379945476
1.48,2.760871767652982
1.49,2.753217577179901
1.5,2.745574347494916
1.51,2.7379416330265456
1.52,2.730319002966045
1.53,2.7227060406088035
1.54,2.715102342730131
1.55,2.7075075189961852
1.56,2.6999211914057404
1.57,2.692342993762415
1.58,2.684772571175373
1.59,2.6772095795869673
1.6,2.6696536853261192
1.61,2.6621045646858144
1.62,2.6545619035236983
1.6300000000000001,2.6470253968843456
1.6400000000000001,2.639494748642357
1.6500000000000001,2.631969671165299
