lambda_um,neff
1.45,2.749233758107808
1.46,2.740969804976515
1.47,2.732712212350541
1.48,2.7244604542852593
1.49,2.7162140220595035
1.5,2.707972423416646
1.51,2.699735181848171
1.52,2.691501835918623
1.53,2.683271938629213
1.54,2.6750450568178095
1.55,2.6668207705945073
1.56,2.658598672809164
1.57,2.6503783685508946
1.58,2.64215947467706
1.59,2.6339416193704484
1.6,2.625724441723639
1.61,2.617507591348799
1.62,2.6092907280120836
1.6300000000000001,2.601073521291207
1.6400000000000001,2.5928556502554865
1.6500000000000001,2.5846368031673412
