lambda_um,neff
1.45,2.812856646621678
1.46,2.805640112421199
1.47,2.7984407824223374
1.48,2.791258185237391
1.49,2.7840918662965244
1.5,2.7769413870590096
1.51,2.769806324265775
1.52,2.76268626923186
1.53,2.7555808271767117
1.54,2.7484896165885173
1.55,2.741412268623579
1.56,2.7343484265354707
1.57,2.727297745134814
1.58,2.7202598902768402
1.59,2.713234538375422
1.6,2.7062213759420923
1.61,2.699220099149463
1.62,2.6922304134161172
1.6300000000000001,2.685252033013515
1.6400000000000001,2.67828468069268
1.6500000000000001,2.6713280873303704
