lambda_um,neff
1.45,2.6958450623751435
1.46,2.68669107385029
1.47,2.677533930947249
1.48,2.6683730591613513
1.49,2.6592079020506674
1.5,2.650037920542178
1.51,2.640862592284598
1.52,2.6316814110458786
1.53,2.622493886153863
1.54,2.6132995419764566
1.55,2.6040979174426475
1.56,2.5948885655994176
1.57,2.5856710532057257
1.58,2.5764449603608077
1.59,2.5672098801661183
1.6,2.5579654184199367
1.61,2.548711193343351
1.62,2.5394468353368516
1.6300000000000001,2.5301719867669017
1.6400000000000001,2.5208863017814793
1.6500000000000001,2.5115894461544728
