lambda_um,neff
1.45,2.644368524928853
1.46,2.6342932491352102
1.47,2.6242018773358824
1.48,2.7602751708828626
1.49,2.7526043421474315
1.5,2.7449439225002337
1.51,2.7372934458256077
1.52,2.7296524601145715
1.53,2.7220205267897843
1.54,2.714397220064474
1.55,2.706782126336332
1.56,2.7946182545466858
1.57,2.788480064183493
1.58,2.782363169392571
1.59,2.7762672789243585
1.6,2.770192111338878
1.61,2.764137394557649
1.62,2.758102865438131
1.6300000000000001,2.752088269368874
1.6400000000000001,2.7460933598847013
1.6500000000000001,2.7401178983008183
