lambda_um,neff
1.4,2.3614000964187394
1.41,2.345336696661219
1.42,2.3291911898809166
1.43,2.3129631235608596
1.44,2.2966521825834127
1.45,2.2802582002791847
1.46,2.263781170651515
1.47,2.2472212618712843
1.48,2.230578831138132
1.49,2.2138544410127134
1.5,2.1970488773313472
1.51,2.1801631688163035
1.52,2.1631986085022024
1.53,2.1461567771012824
1.54,2.129039568429171
1.55,2.1118492170167484
1.56,2.0945883280233595
1.57,2.07725990956456
1.58,2.0598674075514785
1.59,2.042414743122025
1.6,2.0249063527188538
