lambda_um,neff
1.4,2.3901766892858447
1.41,2.374652410191056
1.42,2.359051900260382
1.43,2.3433745337787104
1.44,2.327619793178235
1.45,2.311787276950625
1.46,2.295876708429272
1.47,2.2798879455104095
1.48,2.263820991382094
1.49,2.247676006337493
1.5,2.231453320755237
1.51,2.215153449330844
1.52,2.198777106651356
1.53,2.1823252242084403
1.54,2.165798968946297
1.55,2.1491997634485895
1.56,2.132529307862961
1.57,2.1157896036672668
1.58,2.0989829793748584
1.59,2.0821121182725317
1.6,2.0651800882753277
