lambda_um,neff
1.45,2.72928254813521
1.46,2.7206747114347096
1.47,2.712068855871046
1.48,2.703464396089303
1.49,2.69486076269004
1.5,2.6862574014437817
1.51,2.8112833253774476
1.52,2.80481172204865
1.53,2.7983609594853163
1.54,2.7919306820272456
1.55,2.785520546497129
1.56,2.7791302216206706
1.57,2.7727593874791427
1.58,2.76640773498789
1.59,2.760074965401737
1.6,2.7537607898453733
1.61,2.747464928866945
1.62,2.741187112014152
1.6300000000000001,2.7349270774311805
1.6400000000000001,2.72868457147553
1.6500000000000001,2.7224593483539508
