lambda_um,neff
1.4,2.5844323169854446
1.41,2.572487447891487
1.42,2.5605092217387626
1.43,2.548496766887154
1.44,2.536449241718671
1.45,2.524365834464222
1.46,2.5122457631501125
1.47,2.500088275668021
1.48,2.4878926499683676
1.49,2.4756581943795526
1.5,2.463384248057323
1.51,2.4510701815657865
1.52,2.4387153975953457
1.53,2.4263193318224365
1.54,2.4138814539144677
1.55,2.4014012686888866
1.56,2.3888783174297514
1.57,2.376312179371326
1.58,2.3637024733554073
1.59,2.351048859671464
1.6,2.3383510420890574
