lambda_um,neff
1.45,2.6717588171133344
1.46,2.6621595738200905
1.47,2.6525501722686027
1.48,2.7724882763784935
1.49,2.76501532983257
1.5,2.757554858940645
1.51,2.750106410793048
1.52,2.74266954664332
1.53,2.7352438412320583
1.54,2.727828882144702
1.55,2.7204242692040093
1.56,2.7130296138927616
1.57,2.705644538806568
1.58,2.6982686771346693
1.59,2.690901672167025
1.6,2.773753832502567
1.61,2.767751195476522
1.62,2.7617692046877007
1.6300000000000001,2.7558076070251536
1.6400000000000001,2.749866157510998
1.6500000000000001,2.7439446189341683
