lambda_um,neff
1.45,2.8341812507024335
1.46,2.82731124347023
1.47,2.8204619000158337
1.48,2.813632764550241
1.49,2.8068233980164456
1.5,2.8000333772961223
1.51,2.793262294457661
1.52,2.7865097560436234
1.53,2.779775382396312
1.54,2.7730588070169366
1.55,2.766359675959752
1.56,2.7596776472559252
1.57,2.7530123903678274
1.58,2.7463635856708617
1.59,2.73973092396164
1.6,2.733114105991306
1.61,2.7265128420222338
1.62,2.719926851407082
1.6300000000000001,2.713355862188963
1.6400000000000001,2.706799610721467
1.6500000000000001,2.700257841307841
