lambda_um,neff
1.45,2.670580484977461
1.46,2.660999565824985
1.47,2.6514107813305436
1.48,2.64181353225749
1.49,2.632207238070093
1.5,2.622591336294049
1.51,2.6129652819262863
1.52,2.603328546893047
1.53,2.5936806195548674
1.54,2.5840210042549203
1.55,2.574349220912178
1.56,2.564664804654982
1.57,2.554967305496112
1.58,2.545256288047123
1.59,2.5355313312713736
1.6,2.5257920282752053
1.61,2.5160379861362134
1.62,2.506268825768246
1.6300000000000001,2.49648418182266
1.6400000000000001,2.486683702625527
1.6500000000000001,2.4768670501507524
