lambda_um,neff
1.45,2.5790524573095883
1.46,2.567896134853991
1.47,2.556713894205471
1.48,2.5455050499676757
1.49,2.5342689404465846
1.5,2.523004927461933
1.51,2.5117123962397456
1.52,2.50039075538705
1.53,2.489039436949715
1.54,2.4776578965523592
1.55,2.4662456136243622
1.56,2.45480209171038
1.57,2.4433268588693595
1.58,2.431819468163029
1.59,2.4202794982366314
1.6,2.4087065539948167
1.61,2.3971002673755666
1.62,2.3854602982257105
1.6300000000000001,2.3737863352817157
1.6400000000000001,2.3620780972601616
1.6500000000000001,2.350335334062424
