lambda_um,neff
1.45,2.6745041630755457
1.46,2.6649542207905244
1.47,2.6553947801092384
1.48,2.7737134750100227
1.49,2.7662610267879293
1.5,2.7588212840662667
1.51,2.7513937957481702
1.52,2.743978124914891
1.53,2.7365738481497193
1.54,2.7291805548956365
1.55,2.721797846848314
1.56,2.714425337378476
1.57,2.707062650985111
1.58,2.6997094227761798
1.59,2.6923652979758566
1.6,2.6850299314569335
1.61,2.768115937304625
1.62,2.7621394340123535
1.6300000000000001,2.756183375937956
1.6400000000000001,2.7502475183474187
1.6500000000000001,2.744331624273119
