lambda_um,neff
1.4,2.6730984740617885
1.41,2.6627479748422935
1.42,2.652383541953077
1.43,2.6420044123591095
1.44,2.631609846973371
1.45,2.6211991298565382
1.46,2.610771567487294
1.47,2.6003264881030486
1.48,2.589863241107239
1.49,2.579381196541287
1.5,2.568879744620972
1.51,2.5583582953337882
1.52,2.547816278097262
1.53,2.5372531414775574
1.54,2.526668352965674
1.55,2.516061398813704
1.56,2.505431783927648
1.57,2.4947790318189402
1.58,2.484102684613525
1.59,2.4734023031191144
1.6,2.4626774669512908
