lambda_um,neff
1.45,2.6524100817498435
1.46,2.642475361314214
1.47,2.6325263249065314
1.48,2.7638536037056896
1.49,2.7562409430727914
1.5,2.7486393043943758
1.51,2.7410482255924395
1.52,2.7334672587146964
1.53,2.725895969259192
1.54,2.7183339355328826
1.55,2.7107807480451496
1.56,2.7032360089312846
1.57,2.789477722872895
1.58,2.783375702698865
1.59,2.777294820677523
1.6,2.7712347958339185
1.61,2.7651953565511076
1.62,2.7591762401444146
1.6300000000000001,2.7531771924565693
1.6400000000000001,2.747197967472723
1.6500000000000001,2.7412383269545697
