lambda_um,neff
1.4,2.3301709934833594
1.41,2.313521960356935
1.42,2.296784863747735
1.43,2.279959515064797
1.44,2.2630459044505797
1.45,2.24604421630593
1.46,2.2289548464278304
1.47,2.2117784208899147
1.48,2.19451581679774
1.49,2.177168185059735
1.5,2.1597369753207616
1.51,2.1422239632054367
1.52,2.1246312800226232
1.53,2.1069614450796097
1.54,2.0892174007464783
1.55,2.0714025504049154
1.56,2.053520799392159
1.57,2.0355765990309567
1.58,2.0175749937976413
1.59,1.9995216716353714
1.6,1.9814230173587244
