lambda_um,neff
1.4,2.611616799979919
1.41,2.600168986714333
1.42,2.588694097256887
1.43,2.5771912966214576
1.44,2.5656597774227627
1.45,2.554098759438953
1.46,2.5425074892718387
1.47,2.530885240107199
1.48,2.5192313115726392
1.49,2.5075450296940445
1.5,2.495825746952225
1.51,2.4840728424394585
1.52,2.4722857221181256
1.53,2.4604638191840946
1.54,2.4486065945352182
1.55,2.4367135373507165
1.56,2.4247841657815576
1.57,2.412818027757886
1.58,2.400814701916328
1.59,2.3887737986522355
1.6,2.376694961302066
