lambda_um,neff
1.4,2.5858618482993077
1.41,2.5739492508243127
1.42,2.5620039135006003
1.43,2.5500249764210676
1.44,2.538011609884816
1.45,2.5259630142183935
1.46,2.513878419715595
1.47,2.5017570866994423
1.48,2.4895983057059614
1.49,2.477401397792247
1.5,2.4651657149727395
1.51,2.4528906407851485
1.52,2.4405755909909517
1.53,2.428220014415171
1.54,2.415823393928608
1.55,2.4033852475810042
1.56,2.390905129888294
1.57,2.3783826332831213
1.58,2.3658173897348305
1.59,2.353209072547655
1.6,2.340557398346062
