lambda_um,neff
1.45,2.601291284626683
1.46,2.5905204366616026
1.47,2.579728129386292
1.48,2.5689136946269904
1.49,2.5580764860991607
1.5,2.547215879055466
1.51,2.53633127000302
1.52,2.5254220764898703
1.53,2.51448773696082
1.54,2.5035277106806593
1.55,2.4925414777276598
1.56,2.481528539054697
1.57,2.470488416620906
1.58,2.4594206535933614
1.59,2.448324814620497
1.6,2.4372004861785146
1.61,2.4260472769923247
1.62,2.414864818532877
1.6300000000000001,2.4036527655928555
1.6400000000000001,2.3924107969434703
1.6500000000000001,2.3811386160747543
