lambda_um,neff
1.45,2.6811216566108538
1.46,2.6716919957603578
1.47,2.662254707181436
1.48,2.81878265017117
1.49,2.8120550962472843
1.5,2.805347682202044
1.51,2.7986600034363724
1.52,2.791991669805075
1.53,2.7853423049413633
1.54,2.778711545615356
1.55,2.772099041127128
1.56,2.7655044527298
1.57,2.75892745308275
1.58,2.752367725732563
1.59,2.7458249646202115
1.6,2.7392988736133117
1.61,2.7327891660618584
1.62,2.726295564376134
1.6300000000000001,2.719817799625834
1.6400000000000001,2.7133556111589607
1.6500000000000001,2.706908746239907
