lambda_um,neff
1.45,2.662269734987321
1.46,2.652505767507407
1.47,2.6427295958812556
1.48,2.7682503201145345
1.49,2.7607086675405226
1.5,2.7531787727505463
1.51,2.745660178240134
1.52,2.738152440647513
1.53,2.7306551300775186
1.54,2.7231678294599195
1.55,2.7156901339422097
1.56,2.7082216503125616
1.57,2.700761996453319
1.58,2.693310800822085
1.59,2.7785579598377215
1.6,2.772516450741032
1.61,2.766495689792878
1.62,2.7604954148215395
1.6300000000000001,2.7545153721777433
1.6400000000000001,2.7485553163496235
1.6500000000000001,2.7426150095965722
