lambda_um,neff
1.45,2.6837977599657874
1.46,2.6744405534654967
1.47,2.665077958811574
1.48,2.655709389699713
1.49,2.6463342781651225
1.5,2.6369520739122643
1.51,2.62756224369231
1.52,2.6181642707266075
1.53,2.608757654175085
1.54,2.59934190864573
1.55,2.5899165637465287
1.56,2.580481163675309
1.57,2.5710352668484577
1.58,2.561578445566065
1.59,2.5521102857127174
1.6,2.542630386493484
1.61,2.5331383602034645
1.62,2.523633832030647
1.6300000000000001,2.5141164398912776
1.6400000000000001,2.50458583429719
1.6500000000000001,2.495041678254894
