lambda_um,neff
1.4,2.326572169178802
1.41,2.309832282418146
1.42,2.2930022787185873
1.43,2.276081939073539
1.44,2.259071226043239
1.45,2.241970299887366
1.46,2.2247795363974805
1.47,2.2074995465701583
1.48,2.1901311982648997
1.49,2.1726756400008838
1.5,2.1551343270539083
1.51,2.137509050016373
1.52,2.1198019659883776
1.53,2.102015632566327
1.54,2.0841530447882457
1.55,2.066217675189452
1.56,2.0482135170986773
1.57,2.030145131284733
1.58,2.0120176960239338
1.59,1.9938370606113232
1.6,1.9756098022745365
