lambda_um,neff
1.45,2.8195261152538214
1.46,2.8124182065607717
1.47,2.8053285935714714
1.48,2.7982568099299323
1.49,2.791202406069564
1.5,2.784164948422639
1.51,2.7771440186714935
1.52,2.77013921303902
1.53,2.763150141617295
1.54,2.7561764277301353
1.55,2.749217707330462
1.56,2.742273628427603
1.57,2.735343850545124
1.58,2.728428044206235
1.59,2.7215258904457107
1.6,2.7146370803469617
1.61,2.7077613146027057
1.62,2.700898303098035
1.6300000000000001,2.6940477645146643
1.6400000000000001,2.6872094259552415
1.6500000000000001,2.680383022586959
