lambda_um,neff
1.45,2.4940720518286814
1.46,2.4814248166506094
1.47,2.4687342810443957
1.48,2.455999739294188
1.49,2.443220522708943
1.5,2.430396000666108
1.51,2.417525581834711
1.52,2.4046087155865963
1.53,2.391644893604793
1.54,2.378633651696576
1.55,2.365574571824551
1.56,2.352467284363876
1.57,2.339311470600402
1.58,2.326106865481596
1.59,2.3128532606350607
1.6,2.2995505076702156
1.61,2.286198521779238
1.62,2.2727972856549297
1.6300000000000001,2.259346853744009
1.6400000000000001,2.245847356855758
1.6500000000000001,2.232299007146658
