lambda_um,neff
1.4,2.5215661678945356
1.41,2.508471935185258
1.42,2.495330095863459
1.43,2.4821397406936656
1.44,2.468900001191671
1.45,2.4556100505475476
1.46,2.4422691047628833
1.47,2.4288764240139553
1.48,2.4154313142491373
1.49,2.4019331290321952
1.5,2.3883812716455273
1.51,2.3747751974655116
1.52,2.3611144166264153
1.53,2.347398496990155
1.54,2.3336270674381647
1.55,2.319799821508404
1.56,2.305916521395598
1.57,2.2919770023401917
1.58,2.2779811774295373
1.59,2.2639290428380567
1.6,2.249820683534764
