lambda_um,neff
1.4,2.655835391638326
1.41,2.645182543266043
1.42,2.634512304449597
1.43,2.6238238963152356
1.44,2.613116564839293
1.45,2.6023895801266654
1.46,2.591642235765328
1.47,2.5808738482572173
1.48,2.5700837565217576
1.49,2.5592713214706384
1.5,2.5484359256541054
1.51,2.537576972975714
1.52,2.5266938884760575
1.53,2.5157861181852295
1.54,2.5048531290421336
1.55,2.4938944088834187
1.56,2.4829094664993594
1.57,2.4718978317594584
1.58,2.460859055807284
1.59,2.449792711326092
1.6,2.4386983928764208
