lambda_um,neff
1.45,2.7499535424901156
1.46,2.741703974483878
1.47,2.7334609843125883
1.48,2.725224048849682
1.49,2.7169926622276175
1.5,2.708766335079236
1.51,2.700544593821674
1.52,2.6923269799812584
1.53,2.6841130495578867
1.54,2.6759023724247606
1.55,2.6676945317642895
1.56,2.659489123535887
1.57,2.6512857559754934
1.58,2.643084049124825
1.59,2.6348836343885815
1.6,2.6266841541186583
1.61,2.6184852612245915
1.62,2.610286618807277
1.6300000000000001,2.6020878998169006
1.6400000000000001,2.5938887867328333
1.6500000000000001,2.5856889712649553
