lambda_um,neff
1.4,2.633355861565476
1.41,2.6222933897499905
1.42,2.6112083462718467
1.43,2.600099913471743
1.44,2.5889672994488597
1.45,2.577809737454676
1.46,2.5666264853722067
1.47,2.5554168252813434
1.48,2.5441800631074014
1.49,2.532915528352497
1.5,2.521622573910446
1.51,2.510300575963465
1.52,2.49894893396178
1.53,2.4875670706873394
1.54,2.47615443240038
1.55,2.46471048907331
1.56,2.453234734710093
1.57,2.441726687755517
1.58,2.430185891595279
1.59,2.4186119151498384
1.6,2.407004353565177
