lambda_um,neff
1.45,2.762380706376421
1.46,2.754334842294838
1.47,2.746297642882527
1.48,2.73826859437397
1.49,2.730247200115651
1.5,2.7222329797980374
1.51,2.714225468729868
1.52,2.706224217153072
1.53,2.6982287895964503
1.54,2.690238764264448
1.55,2.682253732461707
1.56,2.6742732980486332
1.57,2.666297076928569
1.58,2.6583246965638114
1.59,2.6503557955191757
1.6,2.642390023032135
1.61,2.6344270386077544
1.62,2.6264665116374255
1.6300000000000001,2.61850812104023
1.6400000000000001,2.610551554925726
1.6500000000000001,2.602596510277654
