lambda_um,neff
1.45,2.7309894485142863
1.46,2.7224088756335414
1.47,2.7138305506914455
1.48,2.7052538893977287
1.49,2.696678323396167
1.5,2.688103299477479
1.51,2.811733790287432
1.52,2.805268838815875
1.53,2.798824782904389
1.54,2.7924012669486733
1.55,2.7859979478229437
1.56,2.779614494301062
1.57,2.7732505865080106
1.58,2.766905915398753
1.59,2.7605801822636167
1.6,2.7542730982583734
1.61,2.747984383957994
1.62,2.7417137689325073
1.6300000000000001,2.7354609913439023
1.6400000000000001,2.729225797562902
1.6500000000000001,2.7230079418047364
