lambda_um,neff
1.45,2.745091231180632
1.46,2.7367486321906234
1.47,2.7284109740434355
1.48,2.720077694009795
1.49,2.71174824544331
1.5,2.7034220969906433
1.51,2.8154606137096283
1.52,2.8090536372595616
1.53,2.802668105045123
1.54,2.7963036636447476
1.55,2.789959972102597
1.56,2.7836367013492787
1.57,2.77733353365301
1.58,2.77105016209771
1.59,2.764786290088145
1.6,2.758541630879607
1.61,2.7523159071310004
1.62,2.7461088504805127
1.6300000000000001,2.739920201141504
1.6400000000000001,2.7337497075194186
1.6500000000000001,2.7275971258466227
