lambda_um,neff
1.45,2.707588937251064
1.46,2.69861281146726
1.47,2.6896344237708445
1.48,2.6806531532252107
1.49,2.6716683946094255
1.5,2.8121589045488773
1.51,2.8055781301545584
1.52,2.799017726654411
1.53,2.792477321918106
1.54,2.7859565569267053
1.55,2.779455085164785
1.56,2.7729725720424105
1.57,2.7665086943473356
1.58,2.7600631397249167
1.59,2.7536356061841003
1.6,2.7472258016285935
1.61,2.740833443411463
1.62,2.73445825791187
1.6300000000000001,2.728099980132991
1.6400000000000001,2.721758353319665
1.6500000000000001,2.7154331285951363
