lambda_um,neff
1.45,2.600733986024168
1.46,2.7569533732149805
1.47,2.7489516182764375
1.48,2.7409579311979133
1.49,2.7329717925797135
1.5,2.724992698473532
1.51,2.717020159631503
1.52,2.8144097305547597
1.53,2.8081066652183857
1.54,2.8018254584873516
1.55,2.7955657722832243
1.56,2.789327280394576
1.57,2.783109667927453
1.58,2.776912630783185
1.59,2.7707358751626208
1.6,2.764579117095361
1.61,2.7584420819922597
1.62,2.752324504220216
1.6300000000000001,2.7462261266980486
1.6400000000000001,2.740146700511981
1.6500000000000001,2.734085984550449
