lambda_um,neff
1.45,2.7588236049232266
1.46,2.7507108471546524
1.47,2.742605572508861
1.48,2.734507237250303
1.49,2.7264153138406306
1.5,2.7183292901467992
1.51,2.7102486686909977
1.52,2.8127520051513852
1.53,2.806423429957776
1.54,2.800116476224415
1.55,2.793830804988837
1.56,2.7875660891615177
1.57,2.781322012976499
1.58,2.775098271469314
1.59,2.7688945699815997
1.6,2.7627106236902157
1.61,2.7565461571601286
1.62,2.750400903919369
1.6300000000000001,2.7442746060549625
1.6400000000000001,2.738167013828796
1.6500000000000001,2.7320778853123935
