lambda_um,neff
1.45,2.8209996762135363
1.46,2.8139164869724915
1.47,2.8068518591558607
1.48,2.799805328013438
1.49,2.792776445585563
1.5,2.7857647799123946
1.51,2.778769914284753
1.52,2.7717914465344204
1.53,2.7648289883623476
1.54,2.7578821647011313
1.55,2.750950613111912
1.56,2.7440339832115335
1.57,2.737131936129945
1.58,2.730244143995329
1.59,2.7233702894457017
1.6,2.7165100651655236
1.61,2.7096631734462644
1.62,2.7028293257688167
1.6300000000000001,2.6960082424075495
1.6400000000000001,2.689199652054089
1.6500000000000001,2.682403291460638
