lambda_um,neff
1.45,2.8286245623018216
1.46,2.821664789641747
1.47,2.8147247983477754
1.48,2.807804128910368
1.49,2.800902338575619
1.5,2.7940190005532535
1.51,2.787153703265481
1.52,2.780306049635735
1.53,2.7734756564151692
1.54,2.7666621535432094
1.55,2.75986518354263
1.56,2.753084400944782
1.57,2.7463194717450885
1.58,2.7395700728860537
1.59,2.73283589176689
1.6,2.726116625777994
1.61,2.719411981859276
1.62,2.712721676080242
1.6300000000000001,2.7060454332419037
1.6400000000000001,2.6993829864981493
1.6500000000000001,2.6927340769964636
